gauge_id,EventRR,RR_seasonality,Recession_a_seasonality,AverageStorage,RecessionParametersAlpha,RecessionParametersBeta,RecessionParametersT0,BaseflowRecessionK,FirstRecessionSlope,MidRecessionSlope,EventRR_TotalRR_Ratio,VariabilityIndex
1013500,0.25847,1.7618,2.3538,233.47,0.050216,1.534,22.338,0.053788,0.064615,0.040738,0.47719,0.36077
1022500,0.34456,0.93686,1.8823,216.75,0.078658,2.1951,10.313,0.098498,0.24133,0.13426,0.58614,0.40264
1030500,0.2858,1.3052,2.9387,211.17,0.10184,1.7158,10.827,0.090977,0.11903,0.092579,0.51343,0.4714
1031500,0.34294,1.1184,2.2936,187.75,0.14914,2.1006,7.6975,0.12228,0.27805,0.14499,0.59697,0.46738
1047000,0.37238,1.1761,1.8382,194.38,0.11673,2.6083,9.4296,0.1126,0.36531,0.12817,0.56988,0.40383
1052500,0.4042,1.47,1.5806,241.98,0.13087,2.6528,7.2424,0.15264,0.61403,0.29176,0.64284,0.37499
1054200,0.43029,1.1682,1.6317,248.89,0.089535,2.7237,8.4991,0.14071,1.1274,0.37321,0.63783,0.39187
1055000,0.40358,1.224,2.2127,191.42,0.13819,2.5183,7.5716,0.14478,0.46446,0.18778,0.61908,0.40965
1057000,0.29919,1.0703,2.8572,240.73,0.13015,2.0962,8.3655,0.13928,0.2127,0.13889,0.58385,0.45408
1073000,0.28277,0.72976,2.812,232.51,0.12989,1.8932,7.8469,0.17821,0.51077,0.18726,0.58206,0.51022
1078000,0.28304,0.96738,2.3763,193.33,0.13002,2.2651,8.4019,0.13172,0.21867,0.095195,0.57348,0.404
1118300,0.34024,0.62846,3.0151,210.14,0.072445,2.4152,9.3039,0.15745,1.045,0.17792,0.62552,0.50089
1121000,0.31557,0.58414,3.0498,211.34,0.071074,2.6677,10.165,0.16234,0.74719,0.2304,0.63174,0.45747
1123000,0.28411,0.62601,1.9235,248.77,0.056048,3.0883,15.272,0.1093,0.47051,0.15072,0.62392,0.3641
1134500,0.39117,1.0607,2.4624,240.69,0.12977,2.3572,6.2745,0.16859,0.2969,0.19378,0.65136,0.3548
1137500,0.38091,1.1282,1.1051,207.88,0.067722,3.0309,10.396,0.118,0.52483,0.19858,0.63287,0.30949
1139000,0.3066,0.96587,2.0924,176.13,0.10004,2.6411,9.556,0.11642,0.26711,0.15817,0.58551,0.33031
1139800,0.2858,1.071,2.4777,159.42,0.079532,2.7417,10.391,0.0995,0.1488,NaN,0.5296,0.33653
1142500,0.30089,0.95108,1.7816,173.09,0.060582,2.6294,15.159,0.10653,0.21954,0.12146,0.55624,0.33695
1144000,0.31381,0.9066,1.883,163,0.090467,2.7324,10.236,0.098701,0.29355,0.1346,0.57627,0.34506
1162500,0.27001,0.74543,2.2793,195.96,0.11868,1.7742,8.1384,0.15601,0.25715,0.18756,0.56222,0.46951
1169000,0.3622,0.82707,1.9322,222.73,0.080708,2.5987,9.9068,0.12799,0.25272,0.15385,0.63426,0.38115
1170100,0.33951,0.8406,1.9054,222.92,0.057932,2.7068,12.396,0.11636,0.32937,0.14827,0.60992,0.37961
1181000,0.36501,0.72088,2.022,181.78,0.096137,2.3331,8.6018,0.14012,0.49507,0.20068,0.64686,0.41254
1187300,0.34464,0.61424,2.7486,207.58,0.13722,2.0983,6.9072,0.17248,0.62279,0.22209,0.64971,0.48754
1195100,0.27943,0.5805,3.3831,229.04,0.11868,2.344,8.4286,0.17811,0.6038,0.19664,0.62849,0.55831
1333000,0.3449,0.64395,1.2327,186.81,0.06816,2.2548,10.915,0.10067,0.5307,0.12818,0.6075,0.36274
1350000,0.32467,0.66349,1.9062,186.61,0.10754,2.1502,8.5366,0.1174,0.23986,0.11164,0.59718,0.46906
1350080,0.25265,0.68797,2.177,224,0.11434,2.2261,10.364,0.11524,0.33242,0.13195,0.57532,0.50454
1350140,0.28374,0.59394,3.0108,237.95,0.1682,2.0755,6.7729,0.17598,0.34734,0.19058,0.63494,0.5655
1365000,0.37869,0.70577,1.61,165.9,0.036786,2.3309,16.069,0.088842,0.76519,0.10549,0.58406,0.34385
1411300,0.17166,0.8135,1.3501,189.22,0.053953,3.4193,21.735,0.089516,1.2819,0.22607,0.46118,0.2259
1413500,0.29413,0.62249,1.4887,185.73,0.079251,1.9576,11.37,0.10334,0.29249,0.10263,0.57246,0.41451
1414500,0.32713,0.59861,1.5083,198.66,0.069783,1.9083,11.43,0.10674,0.5913,0.19081,0.58847,0.38548
1415000,0.29388,0.561,1.8237,201.78,0.11703,1.7307,8.5231,0.12756,1.0305,0.33193,0.61496,0.4321
1423000,0.29794,0.56483,1.7462,178.95,0.10111,1.988,9.4829,0.10742,0.34853,0.10292,0.59937,0.44389
1434025,0.38898,0.69055,1.1361,203.65,0.04243,2.4541,12.714,0.12052,0.56239,0.14404,0.60841,0.34932
1435000,0.40916,0.70883,0.97884,177.98,0.027109,2.7222,16.053,0.085988,1.5537,0.43402,0.59522,0.31368
1439500,0.30076,0.58589,1.9145,178.48,0.064882,2.0899,12.076,0.10328,0.42429,0.12401,0.54108,0.38964
1440000,0.28847,0.59881,1.5984,177.26,0.055132,2.755,13.769,0.09909,0.82922,0.12816,0.56292,0.36659
1440400,0.32078,0.57968,1.4562,158.55,0.04832,2.4001,14.771,0.098183,0.36569,0.11255,0.56664,0.37275
1451800,0.28916,0.50596,1.7859,198.96,0.10708,1.8924,9.8714,0.13316,0.69432,0.13758,0.5814,0.40406
1466500,0.092606,0.87787,1.0393,257.06,0.052806,4.2489,40.717,0.066548,0.19874,0.12492,0.43445,0.15435
1484100,0.17472,0.71983,1.6791,237.45,0.012585,4.5726,68.628,0.082448,0.48721,0.11599,0.5057,0.27173
1485500,0.17966,0.46825,2.2813,157.04,0.20171,2.0061,7.2316,0.16821,0.73586,0.29713,0.52102,0.52446
1486000,0.20766,0.51747,1.5268,174.71,0.12437,2.4997,14.278,0.1301,0.66474,0.16019,0.60244,0.44502
1487000,0.17548,0.71537,1.6211,158.34,0.020681,3.6307,29.493,0.054539,0.65097,0.25393,0.4678,0.27689
1491000,0.19744,0.65433,2.0093,143.96,0.083276,2.6393,17.308,0.11797,0.59186,0.14806,0.53167,0.39995
1510000,0.3593,0.56364,1.5906,143.65,0.10126,2.2929,9.949,0.1141,0.4089,0.11479,0.65057,0.43445
1516500,0.19363,0.537,2.8578,222.62,0.18671,1.8412,8.2796,0.18579,0.4923,0.17874,0.60077,0.55221
1518862,0.25046,0.5149,3.0766,166.73,0.17623,1.7745,6.976,0.17009,0.53956,0.197,0.63536,0.5582
1532000,0.26032,0.46531,2.4769,183.72,0.17373,2.0873,8.7443,0.14805,1.0912,0.30837,0.62011,0.50015
1539000,0.29624,0.52358,1.5467,153.82,0.095833,2.1719,10.273,0.11027,0.48705,0.17421,0.57639,0.39745
1542810,0.32335,0.49852,2.3355,166.86,0.1821,1.782,6.8283,0.19001,0.93109,0.21452,0.68927,0.55278
1543000,0.31938,0.51627,2.347,155.24,0.1576,1.7831,7.0583,0.15484,0.43769,0.17252,0.65576,0.50888
1543500,0.31225,0.527,2.4353,158.32,0.14324,1.885,7.4637,0.1378,0.47672,0.163,0.65102,0.50359
1544500,0.28421,0.55,1.9577,138.06,0.11053,1.7449,9.7863,0.12256,0.94415,0.35512,0.58005,0.48446
1545600,0.25145,0.59114,2.7786,178.11,0.098078,1.7649,10.819,0.11751,0.4206,0.12175,0.55882,0.47722
1547700,0.25481,0.49204,2.9471,157.85,0.14754,1.8176,9.0921,0.14867,0.90459,0.39295,0.59592,0.55562
1548500,0.27022,0.56313,2.3556,150.2,0.11209,1.7601,9.7616,0.11753,0.65118,0.27994,0.59614,0.46417
1549500,0.26629,0.51847,2.9391,173.54,0.10801,1.9275,10.593,0.14721,0.4561,0.16828,0.58787,0.49508
1550000,0.29817,0.52217,2.3214,159.94,0.093462,1.9784,10.756,0.13331,0.42737,0.14132,0.59423,0.44537
1552000,0.30563,0.4911,2.0419,173.07,0.094898,2.2379,10.183,0.11931,0.47057,0.23617,0.61628,0.40861
1552500,0.32424,0.49949,1.8312,137.18,0.09157,1.9715,9.8465,0.1481,0.84258,0.17197,0.60208,0.41758
1557500,0.30643,0.55148,1.9232,133.9,0.082844,2.1361,12.808,0.11954,0.68214,0.15371,0.59817,0.4462
1567500,0.22689,0.5609,1.2897,195.06,0.10135,2.4488,15.202,0.13692,0.51473,0.16628,0.56313,0.33744
1568000,0.255,0.54841,1.8734,208.7,0.11245,2.576,15.077,0.11238,0.50858,0.16157,0.59821,0.41602
1580000,0.20083,0.73356,1.2447,270.97,0.038279,5.4727,24.815,0.078369,0.98488,0.16137,0.52804,0.225
1583500,0.17777,0.72465,1.4852,250.88,0.047962,5.238,24.517,0.072086,0.27759,0.049851,0.52395,0.22732
1586610,0.196,0.67314,1.6873,213.09,0.064203,3.6842,23.489,0.08819,0.63051,0.17771,0.55523,0.27539
1591400,0.18448,0.66902,1.6981,220.25,0.11689,4.1892,13.329,0.10434,0.99545,0.14333,0.56965,0.2592
1594950,0.33968,0.55934,3.0934,142.75,0.11367,1.7226,8.6166,0.17126,1.5863,0.19589,0.71843,0.66168
1596500,0.30516,0.51501,2.4342,134.17,0.16752,1.9095,7.5883,0.16875,1.2455,0.2176,0.67121,0.5642
1605500,0.19446,0.62228,1.2175,179.96,0.1427,2.3166,14.624,0.10257,1.121,0.40743,0.61765,0.35974
1606500,0.24102,0.59808,1.5524,165.53,0.15911,2.2079,10.372,0.10401,1.4699,0.23825,0.67016,0.43136
1613050,0.26286,0.511,4.3638,149.42,0.19428,1.7852,8.3097,0.20824,0.65877,0.21094,0.65076,0.69959
1620500,0.27713,0.56347,2.4427,179.17,0.12389,1.6981,9.6412,0.14947,0.38722,0.12613,0.57754,0.57034
1632000,0.20439,0.51714,2.4416,148.88,0.17813,1.7511,10.883,0.15037,1.5529,0.47126,0.63319,0.60046
1632900,0.15367,0.51739,1.5013,175.91,0.1264,3.0757,28.946,0.085761,0.72658,0.142,0.55293,0.33873
1634500,0.19121,0.50217,2.0244,149.76,0.16383,2.2311,14.458,0.13934,1.9873,0.60043,0.57531,0.42929
1638480,0.20542,0.54838,3.6596,210.48,0.35613,2.4894,9.3972,0.16361,2.0656,0.21704,0.62467,0.51764
1639500,0.21961,0.56854,1.451,213.96,0.11647,3.4107,17.079,0.12599,0.68665,0.17926,0.61524,0.31882
1644000,0.19488,0.54461,3.5565,202.85,0.20697,2.4479,10.618,0.1303,1.3383,0.20467,0.59185,0.53
1658500,0.20815,0.5273,2.711,234.35,0.42469,2.3739,8.218,0.24951,1.1922,0.278,0.71455,0.54334
1664000,0.19615,0.56686,2.5421,183.66,0.14278,2.8193,11.772,0.10904,0.50773,0.1607,0.55266,0.41425
1666500,0.20287,0.58222,1.6911,157.64,0.092453,2.9432,17.073,0.10462,0.54542,0.14096,0.53343,0.32574
1667500,0.19689,0.5785,1.7943,160.87,0.12436,2.8084,13.726,0.11551,0.40212,0.13887,0.54597,0.36839
1669000,0.15535,0.62185,3.0046,206,0.23541,2.5781,5.7087,0.16025,0.21685,1.2689,0.52061,0.36113
1669520,0.15408,0.62248,3.2509,192.15,0.11752,1.6863,9.2799,0.17873,0.31932,0.18441,0.45261,0.46989
2011400,0.18681,0.62282,1.3314,225.64,0.13229,2.1998,14.857,0.10461,0.71762,0.26062,0.61682,0.38619
2011460,0.29646,0.56377,2.2484,163.69,0.17587,1.9276,7.7176,0.14178,0.66809,0.19745,0.69801,0.52221
2013000,0.21174,0.51499,1.7031,116.91,0.18991,2.1349,11.552,0.13792,0.95624,0.43681,0.64967,0.44806
2014000,0.20309,0.59188,1.509,120.72,0.11397,2.0886,14.331,0.10605,1.4849,0.26583,0.59445,0.38963
2015700,0.26144,0.63834,1.0056,143.88,0.090429,2.481,16.504,0.11238,0.61239,0.2155,0.61498,0.31463
2016000,0.22532,0.57104,0.98339,137.5,0.17758,2.4939,13.233,0.10298,1.1122,0.21369,0.61256,0.37894
2017500,0.23248,0.55133,2.3829,133.84,0.13124,1.6207,10.55,0.11964,0.47427,0.15327,0.5922,0.48492
2018000,0.21799,0.57082,1.6012,135.35,0.13713,2.1097,13.278,0.10757,1.12,0.27868,0.59764,0.4294
2027000,0.2512,0.54817,2.2247,154.72,0.068627,2.1451,14.848,0.11163,0.44499,0.13642,0.53046,0.40882
2027500,0.26065,0.56867,2.3515,157.11,0.061324,1.9081,14.939,0.098026,0.53896,0.12746,0.51839,0.42294
2028500,0.23268,0.5737,2.0079,181.41,0.07752,2.1472,14.411,0.12316,0.48931,0.16182,0.54206,0.43893
2038850,0.15406,0.62689,1.7514,260.07,0.25778,3.6404,13.048,0.15078,0.72056,0.17962,0.54916,0.31256
2046000,0.15554,0.59094,2.5022,237.7,0.32327,2.1411,8.1181,0.21082,0.92342,0.22909,0.60156,0.57735
2051000,0.15139,0.59397,2.4939,236.78,0.6442,2.5217,7.3956,0.20467,0.86509,0.27614,0.6526,0.48188
2051500,0.15357,0.58926,1.7648,252.32,0.57676,3.0814,8.4916,0.13747,0.75049,0.17442,0.59755,0.41176
2053200,0.1244,0.51897,3.6604,215.31,0.2935,1.3492,4.6496,0.26654,0.32335,0.28063,0.48231,0.7303
2053800,0.16659,0.6495,1.334,202.8,0.14099,2.7533,17.24,0.11199,0.84577,0.17962,0.55827,0.31666
2055100,0.17043,0.61607,1.3243,170.09,0.15132,2.8711,17.715,0.11018,0.41521,0.19037,0.52641,0.33944
2056900,0.178,0.6971,1.7517,209.68,0.10044,3.6138,19.157,0.096384,0.81265,0.17723,0.55596,0.28379
2059500,0.15548,0.68413,1.022,202,0.21644,3.5098,19.83,0.1188,0.63582,0.18156,0.5618,0.28925
2064000,0.1728,0.64974,1.5565,245.45,0.25564,3.7214,16.147,0.12655,1.0174,0.23475,0.57483,0.2955
2065500,0.16342,0.66385,1.5376,288.24,0.21705,4.294,16.93,0.1215,0.70953,0.16844,0.54704,0.26654
2069700,0.19938,0.78192,0.8714,195.26,0.035977,4.4294,27.606,0.072881,1.0383,0.31367,0.53406,0.22671
2070000,0.18101,0.75886,0.75891,219.19,0.069809,5.0294,23.979,0.075934,0.64783,0.14179,0.53306,0.19879
2074500,0.17204,0.6889,0.64773,192.13,0.17417,4.2798,21.121,0.12872,1.0113,0.19154,0.57941,0.21636
2077200,0.19776,0.53278,3.7275,223.99,0.26381,2.0691,10.786,0.263,1.1003,0.29382,0.69195,0.70359
2081500,0.17738,0.4561,3.6219,294.5,0.62091,2.0823,8.6994,0.23454,1.5382,0.27302,0.69426,0.71153
2082950,0.15059,0.52056,2.5481,281.14,0.40298,2.5557,8.9966,0.14642,1.4095,0.29333,0.58856,0.48547
2092500,0.12015,0.56115,2.7621,185.61,0.19639,1.51,7.552,0.18547,0.32406,0.19355,0.43949,0.60812
2096846,0.16406,0.4404,3.9961,218.47,0.61719,2.2153,9.3271,0.24999,0.98088,0.33378,0.73147,0.77141
2102908,0.20763,0.67867,1.1637,117.72,0.085307,5.1914,7.5379,0.087559,0.58059,0.10683,0.51804,0.18123
2108000,0.13656,0.52938,3.0927,218.21,0.14696,1.4386,7.5503,0.15517,0.21597,0.15921,0.45678,0.48213
2111180,0.25794,0.77859,1.3688,203.67,0.033969,3.1907,20.076,0.10053,0.6707,0.17134,0.55609,0.27714
2111500,0.20314,0.83206,1.0441,228.96,0.029674,4.8381,25.717,0.07515,0.52466,0.14033,0.52581,0.22034
2112120,0.19373,0.80012,0.74329,260.15,0.051288,4.4916,24.267,0.082563,0.48749,0.149,0.53198,0.2298
2112360,0.20966,0.82518,1.4573,218.97,0.021587,5.1352,18.25,0.075551,0.84757,0.14256,0.50081,0.19724
2118500,0.18024,0.74931,1.2163,228.95,0.099451,4.5345,18.631,0.096787,0.92108,0.32667,0.55618,0.24431
2125000,0.21785,0.41088,3.5015,145.54,0.49396,1.9716,8.8595,0.30494,2.1332,0.35093,0.72976,0.85957
2128000,0.19967,0.60207,2.7635,221.7,0.55923,2.8156,6.7407,0.25475,1.7638,0.30371,0.68764,0.47444
2137727,0.24672,0.8138,1.1228,237.09,0.017657,4.3879,28.714,0.076592,0.91772,0.25571,0.55462,0.24503
2140991,0.25706,0.78037,1.1106,176.52,0.031943,3.6255,21.181,0.084163,0.75812,0.12352,0.55883,0.24994
2143000,0.20417,0.74828,0.80481,277.85,0.048802,4.0638,19.704,0.089931,0.94427,0.14815,0.53566,0.25244
2143040,0.23761,0.74407,1.493,238.89,0.066891,3.3644,13.998,0.11677,0.69476,0.23266,0.57168,0.31141
2149000,0.21797,0.81397,0.69405,277.19,0.019326,4.7153,25.029,0.079848,0.40343,0.12792,0.54988,0.24325
2152100,0.18686,0.83414,1.1243,291.29,0.060007,4.0676,23.423,0.098481,0.73154,0.16164,0.54704,0.25589
2177000,0.32551,0.87014,1.0012,318.91,0.0019649,4.7944,27.088,0.054566,0.22436,0.11097,0.61033,0.24674
2178400,0.33963,0.86114,1.1413,241.71,0.0035764,4.037,29.08,0.059026,0.85939,0.11534,0.59738,0.23422
2193340,0.13195,0.54827,3.5624,247.89,0.59503,2.6413,12.014,0.28533,1.3726,0.33043,0.60143,0.46331
2196000,0.11395,0.39363,2.9926,327.64,1.0697,2.2245,7.6938,0.21054,1.4784,0.38644,0.66121,0.61803
2198100,0.13843,0.43656,1.3738,201.19,0.57507,2.795,17.951,0.19744,0.83549,0.33873,0.57142,0.40303
2202600,0.080722,0.48836,4.2398,217.84,0.32574,1.3884,5.3256,0.25302,0.51715,0.24273,0.38248,0.98457
2212600,0.13252,0.44706,3.3902,283.48,0.56178,2.2561,9.9157,0.20863,1.0704,0.24484,0.6006,0.63229
2215100,0.12181,0.52824,2.7572,237.85,0.30892,2.5439,11.634,0.13538,0.6211,0.28559,0.46556,0.52013
2216180,0.14783,0.32335,4.9965,170.83,0.26281,1.4553,8.5169,0.32537,0.73683,0.34775,0.56828,0.81659
2221525,0.12416,0.59114,1.7609,259.87,0.32281,2.9831,16.567,0.13616,0.67209,0.18062,0.54854,0.4034
2231000,0.10022,0.52112,2.1183,232.2,0.22897,1.8389,10.359,0.10305,0.17715,0.13236,0.50819,0.53999
2231342,0.14101,0.70966,3.1171,182.3,0.17934,1.2906,6.9871,0.21729,0.20594,1.1634,0.56968,1.0045
2235200,0.05447,0.46208,2.2712,306.66,0.072912,1.6286,24.389,0.05369,0.07482,0.057638,0.45406,0.46851
2245500,0.13951,0.64558,1.546,208.01,0.30777,2.4791,11.65,0.1618,0.64238,0.16639,0.58637,0.38608
2246000,0.13875,0.63107,1.7041,185.35,0.24984,1.9887,9.0369,0.16375,0.74159,0.43065,0.54711,0.4056
2296500,0.1056,0.62739,2.8761,268.77,0.184,1.3191,8.4606,0.12411,0.13153,0.21209,0.53063,0.70041
2297155,0.092222,0.87119,3.1736,290.54,0.22315,1.4577,9.139,0.2103,0.37215,0.18062,0.53673,0.82841
2297310,0.11355,0.85491,3.6979,300.13,0.20807,1.4654,8.6774,0.14882,0.23692,0.14133,0.50286,0.67584
2298123,0.14455,0.83326,2.9806,281.03,0.16184,1.4912,10.124,0.12878,0.12354,0.49307,0.56983,0.54531
2298608,0.16328,0.86625,2.3933,277.86,0.18146,1.4903,8.282,0.17372,0.35138,0.16636,0.48763,0.59417
2299950,0.16267,0.96883,1.5763,219.03,0.30301,1.8826,7.7156,0.21027,0.72878,0.38094,0.52591,0.50286
2300700,0.21642,0.64161,1.5154,188.97,0.2001,1.9277,8.3608,0.27339,0.86848,0.21483,0.57069,0.36344
2310947,0.054785,0.44235,4.9981,272.99,0.11983,1.0331,9.9226,0.11589,0.078577,0.12871,0.50909,1.3706
2312200,0.052455,0.43627,4.0198,332.29,0.11755,1.3379,14.386,0.10904,0.078137,0.1344,0.43826,0.8235
2314500,0.078118,0.48929,4.3895,287.15,0.085508,1.2126,12.798,0.075641,0.051542,0.070813,0.42065,0.65924
2315500,0.070043,0.49648,2.5989,299.34,0.097927,1.3512,14.11,0.071864,0.025066,0.069704,0.44433,0.66431
2324400,0.061131,0.61662,2.8774,359.03,0.10646,1.3641,11.033,0.091978,0.093049,0.13601,0.45553,0.77411
2327100,0.18609,0.74206,2.6407,289.11,0.20773,1.1972,5.1205,0.20493,0.40594,0.20085,0.48739,0.77008
2342933,0.15599,0.55422,3.5091,301.89,0.44523,2.3698,8.1358,0.21781,0.87034,0.25776,0.59555,0.60825
2349900,0.13584,0.53157,1.8013,234.23,0.2923,2.7476,17.691,0.14165,0.51067,0.2372,0.53205,0.48212
2350900,0.11477,0.65596,1.9541,286,0.21467,3.1601,9.0927,0.10907,0.63825,0.22094,0.4387,0.33802
2361000,0.15516,0.66715,1.7058,258.81,0.16138,2.7811,10.415,0.12577,0.54387,0.13943,0.50422,0.35895
