gauge_id,IE_effect,SE_effect,IE_thresh_signif,SE_thresh_signif,IE_thresh,SE_thresh,SE_slope,Storage_thresh_signif,Storage_thresh
1013500,-0.16825,0.48834,1,1,2.10E-09,5.11E-08,0.13714,1,3.27E-05
1022500,0,0.74577,1,4.07E-07,1.74E-10,11.072,0.38364,0,22.988
1030500,-0.14462,0.71189,1,0.71608,1.64E-09,1.5287,0.22699,0.00063738,14.412
1031500,0,0.71727,1,4.14E-08,7.55E-10,12.538,0.49474,0,23.403
1047000,0.042277,0.70781,1,1.35E-11,1.27E-09,13.328,0.53579,0,22.959
1052500,0,0.61236,1,0.0026293,5.68E-12,9.6598,0.43623,1.08E-05,18.968
1054200,0.061141,0.62507,1,5.77E-15,2.83E-09,15.676,0.60342,0,29.059
1055000,0,0.67235,1,1.04E-11,5.23E-10,14.278,0.57862,0,24.362
1057000,-0.038988,0.7154,1,3.71E-09,1.65E-09,12.609,0.39621,0,24.355
1073000,0,0.6591,1,0,1.46E-11,18.15,0.43774,0,28.019
1078000,-0.054029,0.69613,1,1.14E-11,1.11E-09,15.104,0.39893,0,25.085
1118300,0.058396,0.58917,1,0.00046577,1.18E-11,6.8081,0.29191,6.66E-16,18.326
1121000,-0.015733,0.70985,1,1.68E-11,1.17E-11,10.942,0.34614,0,22.595
1123000,0.050961,0.63272,1,5.32E-05,1.50E-11,8.3251,0.24988,2.22E-16,19.859
1134500,-0.079132,0.68536,1,0.001501,1.04E-11,7.5286,0.37635,3.24E-08,16.865
1137500,0,0.68274,1,1.76E-06,1.03E-09,10.829,0.37049,3.29E-14,21.373
1139000,-0.062266,0.65766,1,0.051508,1.60E-11,4.6139,0.24218,1.84E-05,12.325
1139800,-0.047336,0.54413,1,1,1.86E-11,6.00E-08,0.16472,0.42621,3.3803
1142500,-0.062757,0.62937,1,0.20791,1.42E-11,3.7093,0.23135,0.00044048,12.412
1144000,-0.060821,0.67906,1,0.070974,1.08E-11,4.8386,0.25444,4.21E-05,13.388
1162500,-0.106,0.74101,1,2.91E-05,1.21E-11,8.9976,0.29623,0,21.608
1169000,0.0016246,0.6691,1,1.79E-07,1.37E-10,11.664,0.393,0,23.724
1170100,0.043031,0.62556,1,2.29E-07,1.87E-10,11.274,0.35259,0,22.601
1181000,0.010963,0.65599,1,6.25E-07,8.32E-10,10.36,0.39729,0,22.305
1187300,-0.029238,0.688,1,3.72E-07,6.83E-10,9.8829,0.40978,0,22.146
1195100,-0.074018,0.60229,1,0.0016394,1.16E-11,6.5223,0.26536,2.11E-12,17.151
1333000,0.052779,0.58085,1,0.051448,1.10E-09,5.0885,0.27718,9.47E-09,16.665
1350000,0,0.72856,1,0,3.16E-10,20.195,0.55155,0,31.705
1350080,0,0.58432,1,0.00031972,3.85E-10,9.0672,0.27899,2.41E-10,19.462
1350140,-0.024051,0.56937,1,0.017946,1.18E-11,7.4305,0.3004,7.50E-06,17.296
1365000,0.031424,0.69389,1,7.77E-16,7.74E-12,16.671,0.46633,0,30.514
1411300,-0.19514,0.85188,1,5.23E-09,6.92E-11,13.919,0.16586,0,25.174
1413500,-0.043681,0.70369,1,4.28E-09,1.70E-11,14.346,0.36299,0,25.445
1414500,0.053525,0.56623,1,1.71E-06,1.39E-09,11.224,0.35804,2.09E-14,22.088
1415000,-0.049559,0.67538,1,9.93E-07,1.24E-09,10.709,0.32648,4.66E-15,21.406
1423000,-0.058683,0.67343,1,1.33E-06,6.29E-09,12.341,0.34629,2.83E-14,23.64
1434025,-0.010538,0.70931,1,4.84E-08,1.90E-10,13.43,0.46224,0,25.899
1435000,0.091374,0.68726,1,0,7.76E-12,16.964,0.52167,0,30.468
1439500,0.063459,0.61856,1,1.45E-06,1.31E-09,10.972,0.31608,0,22.909
1440000,-0.03995,0.70467,1,2.12E-08,2.98E-10,11.461,0.31241,0,21.799
1440400,0.071592,0.66066,1,1.52E-11,2.38E-10,15.008,0.41337,0,27.345
1451800,-0.083232,0.82611,1,3.62E-10,9.85E-12,11.892,0.40449,0,23.823
1466500,-0.17136,0.68089,1,0.00014002,4.85E-08,11.28,0.048028,9.71E-11,23.521
1484100,0,0.69705,1,0.002117,1.10E-08,7.7984,0.12883,2.13E-11,18.784
1485500,-0.19218,0.84502,1,4.27E-06,2.63E-09,10.138,0.27045,0,21.651
1486000,-0.069116,0.62682,1,0.00024632,3.20E-09,8.7152,0.23534,1.34E-12,19.421
1487000,-0.068596,0.75375,1,6.62E-08,1.41E-08,11.942,0.13533,0,24.077
1491000,-0.057723,0.74697,1,5.89E-10,1.24E-08,13.975,0.27982,0,24.497
1510000,0.002432,0.55159,1,0.0081344,7.92E-12,7.9341,0.34434,6.06E-07,17.87
1516500,-0.061999,0.61404,1,1.76E-06,2.34E-11,13.26,0.31661,1.24E-13,24.289
1518862,-0.11732,0.59987,1,2.09E-06,1.56E-09,12.595,0.36274,1.29E-11,21.864
1532000,-0.10115,0.67629,1,1.24E-05,2.05E-09,10.855,0.37105,4.61E-12,20.658
1539000,0,0.70814,1,7.74E-10,7.08E-11,12.278,0.3994,0,23.757
1542810,-0.070575,0.60993,1,0.013218,3.21E-08,6.3612,0.35463,9.67E-08,15.74
1543000,-0.048879,0.6326,1,0.0029283,9.18E-12,7.2022,0.3376,1.49E-09,16.652
1543500,-0.040772,0.59174,1,0.0060423,1.49E-09,6.9012,0.3079,4.72E-09,16.709
1544500,-0.031938,0.62427,1,1.75E-07,1.52E-11,12.288,0.37367,3.33E-16,23.868
1545600,-0.039224,0.62014,1,2.45E-08,2.12E-11,13.876,0.34373,0,26.01
1547700,-0.1183,0.65891,1,6.31E-08,1.86E-11,13.498,0.40123,2.22E-16,24.479
1548500,-0.070919,0.64835,1,3.19E-05,1.37E-11,9.848,0.31678,9.06E-12,20.058
1549500,-0.15052,0.6819,1,1.13E-05,1.10E-11,12.127,0.35715,1.34E-11,21.205
1550000,-0.054279,0.66369,1,1.38E-05,1.05E-11,10.465,0.36177,9.12E-13,20.657
1552000,0,0.70279,1,2.07E-06,1.48E-09,10.836,0.35889,7.88E-15,21.597
1552500,0.0010185,0.67389,1,4.78E-11,8.27E-10,12.587,0.45104,0,24.278
1557500,-0.10449,0.61431,1,2.08E-05,3.32E-10,9.2904,0.3397,1.70E-12,18.761
1567500,0,0.65968,1,1.14E-05,2.77E-09,10.862,0.26904,2.01E-13,22.1
1568000,0,0.70679,1,6.35E-05,2.29E-09,9.4429,0.28669,4.33E-13,19.852
1580000,0.087754,0.72491,1,4.68E-09,1.98E-09,12.569,0.17212,0,23.148
1583500,0.088007,0.68614,1,0.0004278,1.81E-10,8.063,0.12248,2.00E-10,17.279
1586610,0.05615,0.6685,1,0.010793,4.12E-11,7.1912,0.15433,6.64E-08,17.309
1591400,-0.048293,0.69484,1,2.72E-08,4.33E-11,13.839,0.19881,4.44E-16,23.798
1594950,-0.10129,0.64032,1,5.69E-06,8.24E-10,9.5229,0.35307,1.11E-16,21.167
1596500,-0.16687,0.7529,1,0.0044047,2.26E-10,6.9865,0.32548,6.44E-09,16.693
1605500,0.013499,0.66407,1,4.35E-06,7.83E-09,12.996,0.2445,6.13E-13,24.201
1606500,0.05717,0.67368,1,0.00017861,2.40E-09,10.019,0.26318,9.82E-12,21.604
1613050,-0.10435,0.66073,1,0.00029095,1.09E-09,9.0997,0.34968,1.59E-11,19.876
1620500,0.060752,0.52791,1,0.00011714,2.73E-09,12.55,0.44414,1.42E-08,22.714
1632000,0,0.6416,0.41408,2.24E-07,0.55439,14.074,0.35527,7.38E-13,23.227
1632900,0,0.69157,1,7.34E-05,107.33,11.387,0.17906,3.80E-11,22.05
1634500,0,0.72155,1,1.83E-05,4.00E-11,10.945,0.26966,2.08E-11,20.212
1638480,0,0.69263,1,0.00011482,2.64E-09,10.587,0.261,1.64E-10,21.158
1639500,0,0.67956,1,0.038197,2.53E-09,5.5888,0.19537,1.62E-07,15.71
1644000,0,0.74212,1,0.0001985,2.93E-11,9.3866,0.23064,2.01E-11,19.888
1658500,0,0.59053,1,3.20E-05,2.18E-11,10.878,0.28661,2.18E-10,21.013
1664000,-0.054133,0.80988,1,1.47E-13,8.65E-10,15.011,0.27597,0,25.201
1666500,0.008525,0.79145,0.23033,0,1.0513,25.89,0.39411,0,41.001
1667500,-0.10055,0.87858,0.098612,5.22E-15,1.333,22.305,0.3456,0,35.838
1669000,0.033271,0.72131,1,4.16E-13,5.03E-08,12.278,0.15302,0,22.892
1669520,-0.10456,0.82765,0.014198,0,1.9274,34.359,0.35911,0,39.122
2011400,0.093621,0.65901,1,0.00056941,4.41E-09,9.0106,0.20302,3.99E-11,19.966
2011460,0.15487,0.613,1,0.000613,1.53E-09,8.4307,0.34243,1.78E-11,19.469
2013000,0.044729,0.64202,1,0.0018353,1.99E-11,7.7099,0.26614,1.69E-09,17.083
2014000,0.095464,0.6442,1,2.06E-07,4.34E-11,12.075,0.27175,7.77E-16,21.568
2015700,0.040253,0.66721,1,0.00010016,5.25E-10,9.352,0.28065,4.66E-12,19.646
2016000,0.11394,0.65482,1,1.92E-07,3.03E-11,12.071,0.31066,6.66E-16,21.682
2017500,0.074845,0.55942,1,1.44E-06,2.43E-11,10.572,0.30412,3.00E-15,20.331
2018000,0.10555,0.62225,1,1.10E-06,3.11E-09,11.134,0.29347,8.88E-16,21.126
2027000,-0.024479,0.74219,1,2.61E-10,0.00013821,14.525,0.34118,0,24.835
2027500,-0.090748,0.73407,1,1.10E-12,0.00012633,20.934,0.42659,0,30.834
2028500,-0.027374,0.71399,1,1.24E-07,4.92E-09,12.741,0.29875,0,23.996
2038850,-0.041684,0.76306,1,2.22E-16,3.27E-08,18.431,0.24644,0,28.513
2046000,0,0.6443,0.13482,2.38E-12,1.3263,16.711,0.28292,0,26.469
2051000,0.15155,0.56862,1,8.15E-08,1.19E-08,11.752,0.22641,1.11E-16,21.913
2051500,0.057779,0.69268,0.83951,3.15E-12,0.19481,15.409,0.25979,0,26.016
2053200,0,0.68583,1,0,1.25E-09,66.179,0.59387,0,39.492
2053800,0.14786,0.67493,1,1.52E-10,4.89E-09,15.57,0.21665,0,25.133
2055100,-0.02771,0.74142,1,3.03E-07,1.03E-08,13.155,0.20117,1.11E-16,23.187
2056900,0.13381,0.75443,1,6.97E-13,1.47E-10,16.46,0.21729,0,26.136
2059500,0.014894,0.78812,1,1.05E-08,1.47E-09,14.923,0.20549,0,25.983
2064000,0.010719,0.75998,0,0,31.966,41.668,0.51922,0,49.114
2065500,0.074275,0.71909,0.056599,0,1.6562,29.089,0.3315,0,36.899
2069700,0.095767,0.79013,1,2.63E-13,9.73E-11,14.476,0.17791,0,26.271
2070000,0.11208,0.73206,1,6.92E-10,1.93E-08,13.604,0.17933,0,23.801
2074500,0.068276,0.75353,0.13517,0,1.4937,26.808,0.31932,0,37.271
2077200,0,0.61738,1,9.27E-08,8.75E-09,14.724,0.34975,1.11E-16,25.508
2081500,0,0.58774,1,2.60E-11,5.90E-09,15.231,0.32902,0,25.968
2082950,0,0.61993,1,0,2.14E-08,26.145,0.3845,0,37.84
2092500,-0.18438,0.86728,0.005652,0,2.8301,34.594,0.37792,0,45.996
2096846,-0.15558,0.5503,1,6.73E-05,2.57E-09,11.662,0.24827,2.19E-11,22.469
2102908,0.017279,0.72142,1,5.66E-08,1.04E-08,7.842,0.14237,0,16.423
2108000,-0.31252,0.96103,0.64336,1.16E-07,0.50369,20.576,0.23177,0,35.446
2111180,0.076615,0.81039,0.84973,0,0.18956,33.217,0.46469,0,43.908
2111500,0.10151,0.81757,1,0,2.26E-08,18.983,0.20279,0,30.916
2112120,0.11843,0.77357,1,1.78E-15,2.34E-09,16.388,0.18825,0,27.784
2112360,0.10977,0.81603,1,0,1.10E-08,14.347,0.16825,0,25.605
2118500,0.059963,0.8887,1,0,6.21E-11,24.988,0.27076,0,34.601
2125000,0,0.55124,1,6.30E-14,2.17E-09,16.155,0.4223,0,27.538
2128000,0.060223,0.64364,1,1.17E-09,2.06E-08,17.102,0.34203,0,29.021
2137727,0.10145,0.85927,1,0,8.45E-09,40.05,0.41867,0,51.676
2140991,0.11395,0.84637,0.6961,0,0.35428,34.755,0.45182,0,42.513
2143000,0.098969,0.79452,1,1.11E-16,1.07E-08,22.324,0.25589,0,34.292
2143040,0.065907,0.80631,1,0,5.66E-09,19.117,0.29555,0,31.298
2149000,0.058197,0.92174,1,0,6.82E-09,23.533,0.24238,0,35.994
2152100,0.089173,0.82877,1,0,3.12E-08,25.792,0.26297,0,37.682
2177000,0.1326,0.90925,1,0,1.92E-08,27.243,0.24962,0,46.061
2178400,0.12033,0.88658,0.69187,0,0.31994,27.305,0.29658,0,44.512
2193340,-0.038127,0.77319,1,0,1.09E-08,20.714,0.28148,0,32.456
2196000,0,0.71709,1,0,1.16E-08,21.313,0.26996,0,33.238
2198100,0.019416,0.5865,1,1.05E-05,7.91E-09,16.298,0.2297,1.86E-13,30.14
2202600,0,0.64471,0.49415,7.72E-11,1.0375,30.284,0.26755,0,41.149
2212600,0.14818,0.60463,1,0,1.26E-08,27.266,0.36271,0,38.614
2215100,-0.089284,0.85659,1,0,3.34E-08,25.364,0.30488,0,37.852
2216180,0,0.50022,1,4.79E-06,2.39E-08,13.679,0.25901,2.89E-15,27.918
2221525,0.048885,0.76643,1,0,4.55E-08,25.663,0.2638,0,38.224
2231000,-0.069917,0.84318,0.034959,0,2.6978,85.036,0.4288,0,76.506
2231342,0,0.74111,0.50437,9.81E-10,0.94803,27.397,0.25482,0,40.4
2235200,0,0.53037,1,9.54E-13,7.21E-06,64.8,0.082258,2.44E-15,73.726
2245500,0.055051,0.69277,1,0,8.22E-08,44.61,0.33842,0,60.148
2246000,0,0.76166,0.47292,0,0.94641,63.584,0.52859,0,74.953
2296500,-0.053054,0.75822,1,0.0018277,1.24E-05,15.154,0.13609,3.02E-09,29.03
2297155,-0.10206,0.72484,1,1.35E-14,1.55E-08,43.035,0.2239,0,60.295
2297310,0,0.79856,0.83517,0,0.43023,69.179,0.33317,0,79.901
2298123,0.031765,0.72897,0.32202,4.78E-07,1.3517,20.601,0.17185,0,34.22
2298608,0.061621,0.78438,0.045549,0,3.0744,47.71,0.44048,0,65.502
2299950,0.081627,0.80794,0.11566,0,2.229,38.106,0.41641,0,53.905
2300700,0.084412,0.64482,0.12673,1.67E-15,2.5364,39.779,0.51026,0,52.147
2310947,0,0.49328,1,0.074341,5.91E-08,12.836,0.057089,0.0001949,28.442
2312200,0,0.44489,1,0.047871,6.28E-08,25.266,0.060862,6.39E-05,27.642
2314500,-0.084743,0.55549,1,1,3.50E-08,4.66E-08,0.046628,0.041236,11.663
2315500,-0.102,0.57341,1,1,4.84E-08,1.81E-06,0.042211,0.012233,14.016
2324400,-0.066139,0.62547,0.38095,0.00036778,1.4838,27.84,0.10028,2.34E-13,38.886
2327100,0,0.69866,1,4.21E-14,1.78E-08,30.328,0.44583,0,43.371
2342933,0.07787,0.61636,0.0078151,0,3.6219,35.154,0.45827,0,47.003
2349900,-0.054826,0.80771,0.27581,0,1.3947,30.535,0.37892,0,44.661
2350900,-0.11702,0.98207,0.0035363,0,2.6918,42.97,0.28195,0,49.786
2361000,0.089739,0.84296,0.18111,0,1.7121,64.608,0.55376,0,75.216
2363000,0,0.76948,0.098208,0,1.9146,43.044,0.38452,0,52.585
2369800,0.061663,0.80634,0.0005874,0,4.4905,76.347,0.65884,0,77.464
2371500,-0.085368,0.89559,0.49641,0,0.90695,46.183,0.37683,0,54.544
2372250,-0.096964,0.91478,0.31471,0,1.2606,46.104,0.43127,0,52.279
2374500,0.099617,0.78596,0.47134,0,0.74202,23.138,0.21998,0,37.507
2381600,0.060825,0.8064,1,0,1.94E-06,25.146,0.27502,0,41.315
2384540,-0.058648,0.84765,1,0,1.10E-09,20.146,0.4294,0,36.103
2395120,0.063294,0.77399,1,0,5.49E-09,24.636,0.34049,0,38.682
2408540,0.16731,0.73207,1,0,6.80E-09,27.95,0.37175,0,41.492
2415000,0.1654,0.7437,1,0,2.52E-08,25.966,0.36988,0,39.599
2422500,0.070016,0.86399,1,0,1.59E-08,23.871,0.28077,0,37.24
2427250,0.078414,0.81275,1,0,5.76E-09,24.406,0.39147,0,36.948
2430085,0.072317,0.70566,1,0,8.04E-09,19.213,0.3673,0,32.45
2430615,0.092201,0.70469,1,0,2.56E-06,28.112,0.36891,0,43.4
2450250,0.098383,0.76483,0.39992,0,0.81819,24.004,0.48502,0,40.51
2464000,0.075416,0.76539,1,0,4.59E-09,20.618,0.4315,0,35.553
2464146,0.16397,0.71713,1,0,2.81E-11,17.922,0.30364,0,32.939
2464360,0.057056,0.80302,1,2.22E-16,3.75E-09,15.705,0.28379,0,29.555
2465493,0.085168,0.87488,1,0,8.55E-09,26.005,0.22758,0,42.878
2469800,0.053425,0.76966,0.1339,0,1.6663,21.828,0.3494,0,35.924
2472000,0.056752,0.88165,1,0,3.02E-06,26.563,0.40356,0,38.585
2472500,0.061969,0.91549,0.0050813,0,2.7391,33.886,0.37451,0,47.788
2479155,0.15615,0.70069,1,0,4.82E-09,23.276,0.3878,0,38.813
2479300,0.071761,0.84962,0.27056,0,0.91198,22.518,0.31927,0,40.163
2479560,0.12575,0.79019,8.15E-05,0,2.7616,29.721,0.35676,0,42.255
2481000,0.086465,0.72059,0.0056424,0,2.2281,23.947,0.47322,0,41.464
2481510,0.087094,0.77394,0.038329,0,1.64,26.645,0.41543,0,42.095
3010655,-0.048367,0.60094,1,0.0010257,3.04E-10,8.9797,0.30336,1.13E-08,18.805
3011800,-0.12533,0.67265,1,0.0053575,8.84E-10,7.4889,0.30086,1.79E-07,17.163
3015500,-0.12816,0.66055,1,0.00039061,1.72E-10,8.9071,0.35684,3.02E-09,18.678
3021350,-0.11825,0.568,1,0.18806,5.23E-10,4.2744,0.38824,0.00083632,13.416
3026500,-0.092038,0.6806,1,0.021956,2.04E-09,5.9561,0.28867,4.38E-07,15.565
3028000,-0.1168,0.71692,1,0.019371,7.43E-12,6.4162,0.32787,5.75E-07,16.118
3049000,-0.1226,0.71295,1,9.87E-11,4.70E-10,12.812,0.33926,0,21.453
3049800,-0.12738,0.65004,1,0.00029965,5.72E-09,50.736,1.034,0,28.748
3050000,0.0082865,0.74222,1,2.24E-12,6.68E-12,12.122,0.48795,0,23.719
3066000,-0.046544,0.76994,1,1.25E-07,5.63E-10,10.404,0.42743,0,21.858
3069500,0.059044,0.7301,1,1.18E-09,4.63E-10,10.812,0.48093,0,22.419
3070500,-0.12814,0.75152,1,6.43E-11,1.16E-11,11.087,0.47423,0,22.163
3076600,-0.14361,0.69165,1,0.0013936,8.54E-10,8.18,0.33054,2.36E-09,18.617
3078000,-0.14683,0.67382,1,0.024553,9.94E-10,5.4056,0.32775,1.79E-07,15.141
3140000,-0.1065,0.67342,1,2.96E-06,2.03E-09,10.04,0.28809,5.43E-14,19.695
3144000,-0.067388,0.66711,1,1.14E-12,2.93E-10,16.352,0.45211,0,24.691
3159540,-0.10233,0.71465,1,8.70E-09,1.23E-09,11.679,0.41257,0,21.456
3161000,0.13424,0.7718,0.59074,0,0.43049,32.305,0.32291,0,41.774
3164000,0.13969,0.74862,1,0,1.42E-08,18.753,0.23159,0,27.657
3165000,0.11452,0.75676,0.97545,0,0.026913,23.571,0.29864,0,34.078
3170000,0.10219,0.72942,1,4.46E-12,1.49E-08,13.065,0.15569,0,22.624
3173000,0.088689,0.56892,1,0.0009325,2.44E-11,8.509,0.22833,4.99E-09,17.245
3180500,0.057176,0.64601,1,2.27E-06,7.51E-12,9.874,0.42277,0,21.828
3182500,0.12607,0.63055,1,5.08E-06,1.05E-09,9.6772,0.38604,6.66E-16,20.827
3186500,0.080557,0.60999,1,1.67E-08,1.15E-10,9.5174,0.4763,0,21.54
3187500,0.067608,0.63327,1,1.92E-07,7.37E-10,8.8902,0.47391,0,20.642
